,support,itemsets,length
0,0.8209764918625678,frozenset({'yes_buyDrink'}),1
1,0.8083182640144665,frozenset({'rain'}),1
2,0.566003616636528,frozenset({'clothes_item'}),1
3,0.5533453887884268,frozenset({'no_spec'}),1
4,0.5515370705244123,frozenset({'male'}),1
5,0.5497287522603979,frozenset({'big_basket'}),1
6,0.49547920433996384,frozenset({'31-50age'}),1
26,0.45027124773960214,frozenset({'small_basket'}),1
15,0.4484629294755877,frozenset({'female'}),1
32,0.44665461121157324,frozenset({'yes_spec'}),1
36,0.43399638336347196,frozenset({'blankets_item'}),1
7,0.4267631103074141,frozenset({'casual_attire'}),1
35,0.3670886075949367,frozenset({'toddler_kids'}),1
20,0.3471971066907776,frozenset({'moderate_bodySize'}),1
21,0.3399638336347197,frozenset({'1basket'}),1
8,0.33815551537070526,frozenset({'thin_bodySize'}),1
28,0.33634719710669075,frozenset({'2basket'}),1
33,0.3345388788426763,frozenset({'41-55mins_timespent'}),1
9,0.32368896925858953,frozenset({'3basket'}),1
10,0.31464737793851716,frozenset({'<=25mins_timespent'}),1
30,0.31464737793851716,frozenset({'fat_bodySize'}),1
16,0.3037974683544304,frozenset({'formal_attire'}),1
11,0.2911392405063291,frozenset({'no_kids'}),1
22,0.2820976491862568,frozenset({'chinese_race'}),1
12,0.28028933092224234,frozenset({'washer_6'}),1
13,0.27848101265822783,frozenset({'dryer_9'}),1
39,0.2694394213381555,frozenset({'traditional_attire'}),1
17,0.26763110307414106,frozenset({'dryer_8'}),1
37,0.26582278481012656,frozenset({'foreigner_race'}),1
29,0.2603978300180832,frozenset({'age>50'}),1
23,0.2603978300180832,frozenset({'25-40mins_timespent'}),1
31,0.244122965641953,frozenset({'age<=30'}),1
34,0.244122965641953,frozenset({'washer_3'}),1
18,0.24050632911392406,frozenset({'washer_4'}),1
24,0.23508137432188064,frozenset({'washer_5'}),1
25,0.23508137432188064,frozenset({'dryer_7'}),1
14,0.22965641952983726,frozenset({'indian_race'}),1
19,0.2224231464737794,frozenset({'malay_race'}),1
27,0.21880650994575046,frozenset({'dryer_10'}),1
38,0.20253164556962025,frozenset({'7day'}),1
