,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len
545,"frozenset({'no_spec', 'rain', 'male'})",frozenset({'yes_buyDrink'}),0.2423146473779385,0.8209764918625678,0.20253164556962025,0.835820895522388,1.0180813991715432,0.0035970164383651304,1.090415913200723,3
328,"frozenset({'yes_buyDrink', '41-55mins_timespent'})",frozenset({'rain'}),0.27486437613019893,0.8083182640144665,0.22965641952983726,0.8355263157894737,1.0336600730012953,0.007478524176855489,1.1654249547920437,2
37,"frozenset({'big_basket', 'rain'})",frozenset({'yes_buyDrink'}),0.4394213381555154,0.8209764918625678,0.3670886075949367,0.8353909465020576,1.0175576947481009,0.006334018946466569,1.0875678119349004,2
221,"frozenset({'big_basket', 'male'})",frozenset({'yes_buyDrink'}),0.2965641952983725,0.8209764918625678,0.24773960216998192,0.8353658536585366,1.017527130117116,0.004267369501878615,1.0874020494273655,2
228,"frozenset({'no_spec', 'male'})",frozenset({'yes_buyDrink'}),0.2965641952983725,0.8209764918625678,0.24773960216998192,0.8353658536585366,1.017527130117116,0.004267369501878615,1.0874020494273655,2
341,"frozenset({'no_spec', 'clothes_item', 'rain'})",frozenset({'yes_buyDrink'}),0.2730560578661845,0.8209764918625678,0.22784810126582278,0.8344370860927152,1.0163958339411265,0.003675496797020339,1.08130198915009,3
121,frozenset({'moderate_bodySize'}),frozenset({'rain'}),0.3471971066907776,0.8083182640144665,0.28933092224231466,0.8333333333333334,1.0309470544369874,0.008685159691179833,1.1500904159132013,1
81,frozenset({'toddler_kids'}),frozenset({'yes_buyDrink'}),0.3670886075949367,0.8209764918625678,0.30560578661844484,0.8325123152709359,1.0140513443718668,0.004234669352438936,1.0688756515264333,1
174,frozenset({'3basket'}),frozenset({'yes_buyDrink'}),0.32368896925858953,0.8209764918625678,0.2694394213381555,0.8324022346368715,1.0139172593704624,0.0036983869016281035,1.068173598553345,1
269,frozenset({'no_kids'}),frozenset({'rain'}),0.2911392405063291,0.8083182640144665,0.2423146473779385,0.8322981366459627,1.0296663748662582,0.0069814819053723165,1.1429910923581814,1
330,"frozenset({'41-55mins_timespent', 'rain'})",frozenset({'yes_buyDrink'}),0.2766726943942134,0.8209764918625678,0.22965641952983726,0.8300653594771242,1.0110708013014311,0.0025146414919116344,1.053484490193351,2
423,frozenset({'foreigner_race'}),frozenset({'yes_buyDrink'}),0.26582278481012656,0.8209764918625678,0.2206148282097649,0.8299319727891157,1.0109083280889448,0.0023805708792089264,1.0526582278481014,1
559,"frozenset({'clothes_item', 'rain', '31-50age'})",frozenset({'yes_buyDrink'}),0.244122965641953,0.8209764918625678,0.20253164556962025,0.8296296296296296,1.010540055473976,0.0021124296538035103,1.0507901564588409,3
530,frozenset({'washer_3'}),frozenset({'rain'}),0.244122965641953,0.8083182640144665,0.20253164556962025,0.8296296296296296,1.0263650675283786,0.005202593775853553,1.1250884503498704,1
301,"frozenset({'yes_buyDrink', 'moderate_bodySize'})",frozenset({'rain'}),0.2857142857142857,0.8083182640144665,0.23688969258589512,0.829113924050633,1.0257270693512306,0.005941617153190415,1.1216931216931225,2
353,"frozenset({'no_spec', '31-50age'})",frozenset({'rain'}),0.27486437613019893,0.8083182640144665,0.22784810126582278,0.8289473684210525,1.0255210173083715,0.005670205912841009,1.1206009180692722,2
19,frozenset({'31-50age'}),frozenset({'rain'}),0.49547920433996384,0.8083182640144665,0.4104882459312839,0.8284671532846716,1.024926925651954,0.009983355623935208,1.1174637374475787,1
21,frozenset({'31-50age'}),frozenset({'yes_buyDrink'}),0.49547920433996384,0.8209764918625678,0.4104882459312839,0.8284671532846716,1.0091240875912408,0.0037114669614040086,1.0436689623331155,1
590,"frozenset({'big_basket', 'rain', '31-50age'})",frozenset({'yes_buyDrink'}),0.2423146473779385,0.8209764918625678,0.2007233273056058,0.8283582089552239,1.0089913866789402,0.001788698174350678,1.0430065256702574,3
70,"frozenset({'rain', '31-50age'})",frozenset({'yes_buyDrink'}),0.4104882459312839,0.8209764918625678,0.3399638336347197,0.8281938325991189,1.0087911661394555,0.00296263353923526,1.0420086242871052,2
69,"frozenset({'yes_buyDrink', '31-50age'})",frozenset({'rain'}),0.4104882459312839,0.8083182640144665,0.3399638336347197,0.8281938325991189,1.0245887906651294,0.008158687285200916,1.1156860017619514,2
5,frozenset({'clothes_item'}),frozenset({'yes_buyDrink'}),0.566003616636528,0.8209764918625678,0.46835443037974683,0.8274760383386582,1.0079168484609649,0.0036787668119643846,1.0376732971669684,1
150,frozenset({'41-55mins_timespent'}),frozenset({'rain'}),0.3345388788426763,0.8083182640144665,0.2766726943942134,0.827027027027027,1.0231452929439506,0.00625880860275535,1.1081600361663655,1
319,"frozenset({'rain', '2basket'})",frozenset({'yes_buyDrink'}),0.2820976491862568,0.8209764918625678,0.2332730560578662,0.8269230769230769,1.0072433073534395,0.0016775176662557345,1.0343580470162745,2
375,"frozenset({'male', '31-50age'})",frozenset({'rain'}),0.27124773960216997,0.8083182640144665,0.22423146473779385,0.8266666666666667,1.0226994780014915,0.0049769627447197595,1.1058561691473086,2
382,"frozenset({'male', '31-50age'})",frozenset({'yes_buyDrink'}),0.27124773960216997,0.8209764918625678,0.22423146473779385,0.8266666666666667,1.0069309838472833,0.0015434470535530265,1.0328279315621087,2
451,frozenset({'25-40mins_timespent'}),frozenset({'yes_buyDrink'}),0.2603978300180832,0.8209764918625678,0.21518987341772153,0.8263888888888888,1.0065926333822808,0.0014093764408503184,1.031175406871609,1
140,"frozenset({'big_basket', 'no_spec'})",frozenset({'rain'}),0.3399638336347197,0.8083182640144665,0.28028933092224234,0.824468085106383,1.0199795325812748,0.005490355090922827,1.0920050413721305,2
413,frozenset({'dryer_8'}),frozenset({'rain'}),0.26763110307414106,0.8083182640144665,0.2206148282097649,0.8243243243243242,1.0198016808755064,0.004283719576598455,1.091111420225344,1
421,frozenset({'dryer_8'}),frozenset({'yes_buyDrink'}),0.26763110307414106,0.8209764918625678,0.2206148282097649,0.8243243243243242,1.004077866412668,0.0008959840946472786,1.0190568924746133,1
125,frozenset({'moderate_bodySize'}),frozenset({'yes_buyDrink'}),0.3471971066907776,0.8209764918625678,0.2857142857142857,0.8229166666666666,1.0023632525697503,0.0006736230784574193,1.0109562812466757,1
473,"frozenset({'3basket', 'rain'})",frozenset({'yes_buyDrink'}),0.2549728752260398,0.8209764918625678,0.20976491862567812,0.8226950354609929,1.0020932920923546,0.0004381820024917382,1.0096925858951173,2
32,frozenset({'female'}),frozenset({'rain'}),0.4484629294755877,0.8083182640144665,0.3688969258589512,0.8225806451612904,1.0176445117990909,0.006396149230401993,1.0803879664639164,1
149,frozenset({'2basket'}),frozenset({'yes_buyDrink'}),0.33634719710669075,0.8209764918625678,0.2766726943942134,0.8225806451612904,1.0019539576524088,0.0005395524657547668,1.0090415913200725,1
31,frozenset({'female'}),frozenset({'yes_buyDrink'}),0.4484629294755877,0.8209764918625678,0.3688969258589512,0.8225806451612904,1.0019539576524088,0.0007194032876730039,1.0090415913200725,1
624,"frozenset({'<=25mins_timespent', 'rain'})",frozenset({'yes_buyDrink'}),0.244122965641953,0.8209764918625678,0.2007233273056058,0.8222222222222223,1.0015173764072443,0.00030411138978905794,1.0070072332730564,2
574,"frozenset({'chinese_race', 'rain'})",frozenset({'yes_buyDrink'}),0.244122965641953,0.8209764918625678,0.2007233273056058,0.8222222222222223,1.0015173764072443,0.00030411138978905794,1.0070072332730564,2
181,frozenset({'fat_bodySize'}),frozenset({'yes_buyDrink'}),0.31464737793851716,0.8209764918625678,0.2585895117540687,0.82183908045977,1.0010506861106891,0.0002714112403493507,1.0048416263197804,1
163,frozenset({'41-55mins_timespent'}),frozenset({'yes_buyDrink'}),0.3345388788426763,0.8209764918625678,0.27486437613019893,0.8216216216216217,1.000785807834266,0.00021582098630190671,1.003616636528029,1
44,"frozenset({'clothes_item', 'rain'})",frozenset({'yes_buyDrink'}),0.4448462929475588,0.8209764918625678,0.36528028933092227,0.8211382113821138,1.0001969843486982,7.194032876728373e-05,1.0009041591320074,2
28,frozenset({'small_basket'}),frozenset({'rain'}),0.45027124773960214,0.8083182640144665,0.3688969258589512,0.819277108433735,1.0135575860488937,0.004934452550448221,1.0606389391199527,1
542,"frozenset({'yes_buyDrink', 'no_spec', 'male'})",frozenset({'rain'}),0.24773960216998192,0.8083182640144665,0.20253164556962025,0.8175182481751825,1.0113816358856285,0.002279200415945898,1.0504159132007236,3
262,"frozenset({'no_spec', 'male'})",frozenset({'rain'}),0.2965641952983725,0.8083182640144665,0.2423146473779385,0.8170731707317073,1.010831014350412,0.002596391865510833,1.0478601567209163,2
8,frozenset({'no_spec'}),frozenset({'rain'}),0.5533453887884268,0.8083182640144665,0.45207956600361665,0.8169934640522876,1.0107324063107719,0.004800381937745513,1.0474037716352367,1
478,"frozenset({'no_spec', 'female'})",frozenset({'rain'}),0.25678119349005424,0.8083182640144665,0.20976491862567812,0.8169014084507042,1.0106185209692158,0.0022039900722346517,1.0468771734594524,2
186,frozenset({'fat_bodySize'}),frozenset({'rain'}),0.31464737793851716,0.8083182640144665,0.25678119349005424,0.8160919540229885,1.0096171153796705,0.002445971178088313,1.0422694394213385,1
282,"frozenset({'big_basket', 'no_spec', 'yes_buyDrink'})",frozenset({'rain'}),0.29475587703435807,0.8083182640144665,0.24050632911392406,0.8159509202453987,1.0094426373505716,0.0022497702814501808,1.0414707655213984,3
